Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Lead Braking Distance (m),Braking Phase
11.05,20.04,19.91,19.99,46.82,34.68,40.69,5.567,5.553,-0.833,0.0,0.0,,
11.1,19.89,20.08,19.99,46.82,34.95,40.97,5.525,5.553,-0.833,0.0,0.0,,
11.15,19.76,19.91,19.99,46.82,35.23,41.25,5.489,5.553,-0.722,0.0,0.0,,
11.2,19.67,20.08,19.99,46.82,35.5,41.53,5.464,5.553,-0.5,0.0,0.0,,
11.25,19.64,19.91,19.99,46.83,35.77,41.8,5.456,5.553,-0.167,0.0,0.0,,
11.3,19.67,20.08,19.99,46.83,36.05,42.08,5.464,5.553,0.167,0.0,0.0,,
11.35,19.76,19.91,19.99,46.84,36.32,42.36,5.489,5.553,0.5,0.0,0.0,,
11.4,19.87,20.08,19.99,46.84,36.6,42.64,5.519,5.553,0.611,0.0,0.0,,
11.45,19.98,19.91,19.99,46.84,36.87,42.91,5.55,5.553,0.611,0.0,0.0,,
11.5,20.07,20.08,19.99,46.84,37.15,43.19,5.575,5.553,0.5,0.0,0.0,,
11.55,20.13,19.91,19.99,46.84,37.43,43.47,5.592,5.553,0.333,0.0,0.0,,
11.6,20.18,20.08,19.99,46.84,37.71,43.75,5.606,5.553,0.278,0.0,0.0,,
11.65,20.19,19.91,19.99,46.83,37.99,44.02,5.608,5.553,0.056,0.0,0.0,,
11.7,20.17,20.08,19.99,46.83,38.27,44.3,5.603,5.553,-0.111,0.0,0.0,,
11.75,20.1,19.91,19.99,46.83,38.55,44.58,5.583,5.553,-0.389,0.0,0.0,,
11.8,20.0,20.08,19.99,46.83,38.83,44.86,5.556,5.553,-0.556,0.0,0.0,,
11.85,19.87,19.91,19.99,46.83,39.11,45.14,5.519,5.553,-0.722,0.0,0.0,,
11.9,19.75,20.08,19.99,46.83,39.38,45.41,5.486,5.553,-0.667,0.0,0.0,,
11.95,19.67,19.91,19.99,46.84,39.66,45.69,5.464,5.553,-0.444,0.0,0.0,,
12.0,19.65,20.08,19.99,46.84,39.93,45.97,5.458,5.553,-0.111,0.0,0.0,,
12.05,19.68,19.91,19.99,46.85,40.2,46.25,5.467,5.553,0.167,0.0,0.0,,
12.1,19.78,20.08,19.99,46.85,40.48,46.52,5.494,5.553,0.556,0.0,0.0,,
12.15,19.91,19.91,19.99,46.85,40.75,46.8,5.531,5.553,0.722,0.0,0.0,,
12.2,20.07,20.08,19.99,46.85,41.03,47.08,5.575,5.553,0.889,0.0,0.0,,
12.25,20.23,19.91,19.99,46.85,41.31,47.36,5.619,5.553,0.889,0.0,0.0,,
12.3,20.37,20.08,19.99,46.84,41.59,47.64,5.658,5.553,0.778,0.0,0.0,,
12.35,20.44,19.91,19.99,46.84,41.88,47.91,5.678,5.553,0.389,0.0,0.0,,
12.4,20.44,20.08,19.99,46.83,42.16,48.19,5.678,5.553,0.0,0.0,0.0,,
12.45,20.36,19.91,19.99,46.83,42.44,48.47,5.656,5.553,-0.444,0.0,0.0,,
12.5,20.23,20.08,19.99,46.82,42.72,48.75,5.619,5.553,-0.722,0.0,0.0,,
12.55,20.08,19.91,19.99,46.82,43.0,49.02,5.578,5.553,-0.833,0.0,0.0,,
12.6,19.92,20.08,19.99,46.82,43.28,49.3,5.533,5.553,-0.889,0.0,0.0,,
12.65,19.78,19.91,19.99,46.82,43.56,49.58,5.494,5.553,-0.778,0.0,0.0,,
12.7,19.67,20.08,19.99,46.83,43.83,49.86,5.464,5.553,-0.611,0.0,0.0,,
12.75,19.62,19.91,19.99,46.83,44.1,50.13,5.45,5.553,-0.278,0.0,0.0,,
12.8,19.64,20.08,19.99,46.84,44.38,50.41,5.456,5.553,0.111,0.0,0.0,,
12.85,19.71,19.91,19.99,46.84,44.65,50.69,5.475,5.553,0.389,0.0,0.0,,
12.9,19.83,20.08,19.99,46.84,44.92,50.97,5.508,5.553,0.667,0.0,0.0,,
12.95,19.99,19.91,19.99,46.84,45.2,51.25,5.553,5.553,0.889,0.0,0.0,,
13.0,20.14,20.08,19.99,46.84,45.48,51.52,5.594,5.553,0.833,0.0,0.0,,
