sid,ego_speed,other_speed,other_distance,timeout,loss,min_ttc,collision,summary_log
1770771131.823-5797,24.603082698405302,13.628200180926742,6.986610253033127,90.0,1000000.0,,0,
1770771282.544-5733,38.90652558694162,31.471541034942675,16.042880028945575,90.0,1000000.0,,0,
1770771433.107-8890,38.47483703952472,31.475652232256206,15.907831689855396,90.0,1000000.0,,0,
1770771584.015-5862,24.603082698405302,13.628200180926742,6.986610253033127,90.0,1000000.0,,0,
1770771734.755-4892,38.90652558694162,31.471541034942675,16.042880028945575,90.0,1000000.0,,0,
1770771890.870-2528,22.860925827830517,28.202094722056813,9.356677171915775,90.0,1000000.0,,0,
1770771890.870-9219,10.559531528498711,24.8429496356816,19.06987979462108,90.0,1000000.0,,0,
1770771890.870-7340,32.33907740980015,4.4029869698697635,7.027223736145834,90.0,1000000.0,,0,
1770772038.974-8525,22.860925827830517,28.202094722056813,9.356677171915775,90.0,1000000.0,,0,
1770772038.974-3049,10.559531528498711,24.8429496356816,19.06987979462108,90.0,1000000.0,,0,
1770772038.977-3576,46.754886583421936,39.55541008446713,5.766366650261659,90.0,1000000.0,,0,
1770772194.725-1457,8.650401063815725,39.88646671006015,9.53551761837326,90.0,1000000.0,,0,
1770772194.725-9839,20.480890999505885,9.91532964995852,9.780519582468067,90.0,1000000.0,,0,
1770772341.989-599,46.754886583421936,39.55541008446713,5.766366650261659,90.0,1000000.0,,0,
1770772488.386-6576,35.616215605776034,13.118227538904609,17.710773225119624,90.0,1000000.0,,0,
1770772644.807-4873,40.79035847638567,36.07038972691958,2.8172165256508457,90.0,2.362913877265377,2.362913877265377,0,
