sid,ego_speed,other_speed,other_distance,timeout,min_ttc,collision,loss
1770733431.916-1390,32.962414597023056,26.83301670612375,6.350020621212052,90.0,14.418996978808247,0,14.418996978808247
1770733576.857-1106,26.266288281269237,19.857612965372855,10.364079072554626,90.0,2.278735688890102,0,2.278735688890102
1770733717.612-2344,26.474663036704246,19.83336852087443,10.052604004017894,90.0,2.3961648517812693,0,2.3961648517812693
1770733858.204-4311,26.266288281269237,19.857612965372855,10.364079072554626,90.0,2.3817734630600897,0,2.3817734630600897
1770733999.871-6490,45.10867954347776,11.039108587483444,5.618857937343619,90.0,,0,1000000.0
1770734149.060-2507,47.77670188885101,31.44217901530592,18.405456779177126,90.0,2.732474226949043,0,2.732474226949043
1770734293.805-3137,39.93280934149928,28.939574768368924,9.37999020947369,90.0,2.863551924920175,0,2.863551924920175
1770734439.045-5024,47.77670188885101,31.44217901530592,18.405456779177126,90.0,2.320461923336465,0,2.320461923336465
1770734586.157-5313,25.76231192068984,20.18119032954843,10.061027716145274,90.0,2.3021157811713358,0,2.3021157811713358
1770734733.877-235,37.12081825884409,22.265276972542694,11.8084909025121,90.0,2.0715062826758075,0,2.0715062826758075
1770734881.882-9398,37.12081825884409,22.265276972542694,11.8084909025121,90.0,2.0956560744384527,0,2.0956560744384527
1770735030.230-7523,37.1168273031499,22.25395030640034,11.838115786681751,90.0,2.1464762455538944,0,2.1464762455538944
1770735178.573-6948,37.19752695901543,22.366490203175825,11.795767648670575,90.0,,0,1000000.0
1770735363.097-5670,37.1168273031499,22.25395030640034,11.838115786681751,90.0,,0,1000000.0
1770735547.625-5665,37.3602366321081,22.28242722539051,12.050469584204599,90.0,,0,1000000.0
1770735695.309-8056,37.07064641375028,22.098621985368045,11.848585322846747,90.0,,0,1000000.0
1770735840.963-6895,37.3602366321081,22.28242722539051,12.050469584204599,90.0,,0,1000000.0
1770735986.350-7283,43.84964435353759,30.598461649603852,12.268448487672151,90.0,,0,1000000.0
1770736131.302-7053,43.84964435353759,30.598461649603852,12.268448487672151,90.0,,0,1000000.0
1770736276.781-3651,42.873794711799185,35.05960272705852,2.5241530779569716,90.0,,0,1000000.0
1770736461.313-1597,42.873794711799185,35.05960272705852,2.5241530779569716,90.0,,0,1000000.0
1770736645.877-6330,39.44617674428994,19.119145223702233,-2.1685192312932893,90.0,2.1464762455538944,0,2.1464762455538944
1770736720.031-2001,39.44617674428994,19.119145223702233,-2.1685192312932893,90.0,2.1464762455538944,0,2.1464762455538944
1770736783.722-7112,49.49229970681576,14.302795326410326,-6.210765771091659,90.0,2.1464762455538944,0,2.1464762455538944
1770736847.584-3791,39.44617674428994,19.119145223702233,-2.1685192312932893,90.0,2.1464762455538944,0,2.1464762455538944
1770736911.058-4702,40.905929081896765,15.230820999496867,-3.2856195575964007,90.0,2.1464762455538944,0,2.1464762455538944
1770736974.596-2237,26.52329649089123,14.800030463504516,20.345204703594437,90.0,,0,1000000.0
1770737121.161-9718,39.44617674428994,19.119145223702233,-2.1685192312932893,90.0,2.1464762455538944,0,2.1464762455538944
1770737185.422-7978,34.756415945963546,25.569825573437587,2.0937351712645613,90.0,2.1464762455538944,0,2.1464762455538944
1770737249.033-509,32.2143140669941,18.6783617566772,-0.318447640149369,90.0,2.1464762455538944,0,2.1464762455538944
1770737312.332-7615,27.03948446084444,20.991430136085505,10.46810502953841,90.0,,0,1000000.0
1770737457.474-5669,34.756415945963546,25.569825573437587,2.0937351712645613,90.0,2.1464762455538944,0,2.1464762455538944
1770737521.304-1883,17.45853694902596,10.05320185493007,2.8112022944737616,90.0,2.1464762455538944,0,2.1464762455538944
1770737584.412-4682,17.45853694902596,10.05320185493007,2.8112022944737616,90.0,2.1464762455538944,0,2.1464762455538944
1770737651.764-1263,21.831216712617724,-1.1607029514748106,7.294855633579993,90.0,16.4284206665213,0,16.4284206665213
1770737804.464-2929,17.45853694902596,10.05320185493007,2.8112022944737616,90.0,16.4284206665213,0,16.4284206665213
1770737868.588-4015,17.4817511557988,9.92117189298693,2.746747363299286,90.0,16.4284206665213,0,16.4284206665213
1770737932.638-7940,17.4817511557988,9.92117189298693,2.746747363299286,90.0,16.4284206665213,0,16.4284206665213
1770737997.219-987,20.67312431816956,1.7367731308089844,6.019113900391426,90.0,,0,1000000.0
1770738142.433-7437,17.4817511557988,9.92117189298693,2.746747363299286,90.0,16.4284206665213,0,16.4284206665213
1770738207.616-748,19.405253045871802,6.471567952084724,0.8188981822155972,90.0,16.4284206665213,0,16.4284206665213
1770738274.170-31,17.4817511557988,9.92117189298693,2.746747363299286,90.0,16.4284206665213,0,16.4284206665213
1770738337.578-9959,48.39359966486327,21.94724969159224,16.567655461792736,90.0,,0,1000000.0
1770738483.398-3887,49.762663794266764,24.383788297670506,12.070441184290342,90.0,1.9673178427568119,0,1.9673178427568119
1770738614.372-2593,16.286742905786408,14.989071847837355,0.28600005454450983,90.0,1.9673178427568119,0,1.9673178427568119
1770738677.867-5892,49.762663794266764,24.383788297670506,12.070441184290342,90.0,,0,1000000.0
1770738823.335-8981,47.302001217448606,22.7251268502646,9.99002164400017,90.0,,0,1000000.0
1770738969.446-1796,47.302001217448606,22.7251268502646,9.99002164400017,90.0,,0,1000000.0
1770739115.112-4850,57.59368430052421,34.371424273853364,13.007078354217848,90.0,,0,1000000.0
1770739260.826-101,51.85690225890861,25.67891599939336,11.317916316047214,90.0,,0,1000000.0
1770739406.670-9627,47.302001217448606,22.7251268502646,9.99002164400017,90.0,,0,1000000.0
1770739552.405-2504,35.20881012529569,19.561736172511708,4.63409343261792,90.0,,0,1000000.0
1770739702.428-4418,35.20881012529569,19.561736172511708,4.63409343261792,90.0,,0,1000000.0
1770739847.476-9609,23.15383982065245,18.95058977660392,4.117720623165014,90.0,,0,1000000.0
1770739997.191-2581,33.576802695647594,24.877442873706592,9.339150005609772,90.0,,0,1000000.0
1770740142.986-5658,36.59099503862015,25.071795977950895,10.984373703080616,90.0,,0,1000000.0
1770740288.986-2501,23.15383982065245,18.95058977660392,4.117720623165014,90.0,,0,1000000.0
1770740435.637-9085,12.10059951597864,11.351725861734057,5.166265914047935,90.0,,0,1000000.0
1770740585.863-5420,26.43509905906214,23.27144134408741,1.5517903696436441,90.0,1.9673178427568119,0,1.9673178427568119
1770740652.401-7187,26.43509905906214,23.27144134408741,1.5517903696436441,90.0,1.9673178427568119,0,1.9673178427568119
1770740716.872-3921,27.637858232449247,23.128801815257198,1.0062078743214746,90.0,1.9673178427568119,0,1.9673178427568119
1770740781.035-237,26.43509905906214,23.27144134408741,1.5517903696436441,90.0,1.9673178427568119,0,1.9673178427568119
1770740845.180-668,37.70651221593906,31.872567687904887,-1.4482983423226976,90.0,1.9673178427568119,0,1.9673178427568119
1770740916.505-6809,26.43509905906214,23.27144134408741,1.5517903696436441,90.0,1.9673178427568119,0,1.9673178427568119
1770740988.697-3142,30.75019584612467,25.34075826231658,6.286192803622929,90.0,,0,1000000.0
1770741135.254-4385,31.93062362151533,22.61315169712924,-0.8450525181058133,90.0,1.9673178427568119,0,1.9673178427568119
1770741200.233-7121,26.43509905906214,23.27144134408741,1.5517903696436441,90.0,1.9673178427568119,0,1.9673178427568119
1770741264.417-9806,31.401990309809925,24.004453550081855,8.131510445040567,90.0,,0,1000000.0
1770741411.446-3231,17.77749633600976,16.03308616196927,1.596027039113154,90.0,1.9673178427568119,0,1.9673178427568119
1770741487.978-8294,26.43509905906214,23.27144134408741,1.5517903696436441,90.0,1.9673178427568119,0,1.9673178427568119
1770741564.564-7865,28.387998688778428,15.285925871811624,4.830957525068799,90.0,10.326648426141821,0,10.326648426141821
1770741700.014-8290,28.387998688778428,15.285925871811624,4.830957525068799,90.0,,0,1000000.0
1770741846.348-3675,30.91242079489725,21.948093120504648,13.855587059282655,90.0,,0,1000000.0
1770742000.494-3908,28.115265484482844,15.002767558948726,5.001973126223388,90.0,,0,1000000.0
1770742146.336-8520,30.91242079489725,21.948093120504648,13.855587059282655,90.0,,0,1000000.0
1770742296.005-3064,32.58124379293261,17.501454394462712,11.173731605359357,90.0,,0,1000000.0
1770742443.038-4880,30.83747359058104,15.3274349462981,10.801867733441988,90.0,,0,1000000.0
1770742595.904-679,44.28320037759405,31.889500352515153,14.645737581360631,90.0,,0,1000000.0
1770742745.679-8315,44.28320037759405,31.889500352515153,14.645737581360631,90.0,,0,1000000.0
1770742895.976-2449,15.78128723477695,14.806709214640357,13.846554814307714,90.0,,0,1000000.0
1770743046.229-280,37.7890853748937,29.852651599030935,4.9469547309087964,90.0,,0,1000000.0
1770743195.668-5779,15.78128723477695,14.806709214640357,13.846554814307714,90.0,,0,1000000.0
1770743349.043-6592,37.7890853748937,29.852651599030935,4.9469547309087964,90.0,10.326648680981863,0,10.326648680981863
1770743499.434-9921,29.13442013371421,15.592120698518027,4.029427562444039,90.0,,0,1000000.0
1770743648.824-6433,15.742214089900294,14.83772597691988,13.928114518252125,90.0,,0,1000000.0
1770743802.045-6710,29.13442013371421,15.592120698518027,4.029427562444039,90.0,,0,1000000.0
1770743948.366-5477,15.742214089900294,14.83772597691988,13.928114518252125,90.0,,0,1000000.0
1770744098.881-6590,12.692663692339504,6.550425327637999,11.120912150799759,90.0,,0,1000000.0
1770744245.045-5259,29.13442013371421,15.592120698518027,4.029427562444039,90.0,10.29996453875798,0,10.29996453875798
1770744387.998-8006,38.87278310038559,26.661659245249293,12.336950498306201,90.0,2.0117564308028006,0,2.0117564308028006
